,LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
0,1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E22,Note: The log message may contain placeholders that need to be replaced with actual values.
1,2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Note: The log message may contain placeholders for variables that you need to replace with actual values.
2,3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Note: The log message may contain placeholders for variables that you need to replace with actual values.
3,4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,Started reading broadcast variable {securityManager}
4,5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Note: The log message may contain placeholders for variables that you need to replace with actual values.
5,6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Note: The log message may contain placeholders for variables that you need to replace with actual values.
6,7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,Started reading broadcast variable {securityManager}
7,8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E28,Started reading broadcast variable 9
8,9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E31,"Note: The log messages are not guaranteed to be in any particular format, so you may need to perform some processing on them before using this function."
9,10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Started remoting; listening on addresses 
10,11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E34,Successfully started service 'sparkExecutorActorSystem' on port {port}
11,12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E7,Started reading broadcast variable 70293f72-844a-4b39-9ad6-fb0ad7e364e4
12,13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,E18,"Note: The log messages are not always in the same format, so you may need to adjust the template accordingly."
13,14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,E6,Started reading broadcast variable 9
14,15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,E32,"Note: The log message may contain placeholders for variables, which should be replaced with actual values to extract the corresponding template."
15,16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,E30,Starting executor ID {executor_id} on host {host}
16,17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,E33,Started reading broadcast variable 40984
17,18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,E27,"Note: The number in the log message is a placeholder, you must replace it with the corresponding template."
18,19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,E36,"Note: The log messages are not always in the same format, so you may need to adjust the template accordingly."
19,20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,E21,"Note: The log messages are not guaranteed to be in any particular format, so you may need to perform some parsing or pattern matching to extract the relevant information."
